Date,Price,Open,High,Low,Vol.,Change %
16-Oct-18,6705.30 ,6712.40 ,6836.70 ,6645.40 ,155.85K,0.08%
15-Oct-18,6699.80 ,6326.80 ,7358.40 ,6300.20 ,443.33K,5.90%
14-Oct-18,6326.80 ,6321.60 ,6390.90 ,6300.00 ,99.38K,0.08%
13-Oct-18,6321.70 ,6291.30 ,6329.30 ,6282.80 ,94.45K,0.48%
12-Oct-18,6291.30 ,6239.20 ,6344.80 ,6206.80 ,147.40K,0.84%
11-Oct-18,6239.10 ,6618.00 ,6622.50 ,6206.20 ,245.28K,-5.72%
10-Oct-18,6618.00 ,6650.60 ,6653.50 ,6526.00 ,101.93K,-0.49%
9-Oct-18,6650.80 ,6669.60 ,6678.90 ,6613.30 ,80.79K,-0.28%
8-Oct-18,6669.60 ,6611.00 ,6699.50 ,6589.90 ,119.68K,0.89%
7-Oct-18,6611.00 ,6596.30 ,6633.90 ,6523.80 ,77.06K,0.22%
6-Oct-18,6596.30 ,6639.10 ,6661.50 ,6550.40 ,9.18M,-0.65%
5-Oct-18,6639.10 ,6584.20 ,6682.30 ,6537.60 ,9.34M,0.83%
4-Oct-18,6584.20 ,6509.20 ,6653.00 ,6487.80 ,9.31M,1.17%
3-Oct-18,6507.80 ,6549.90 ,6563.50 ,6429.60 ,9.21M,-0.64%
2-Oct-18,6549.90 ,6608.20 ,6645.70 ,6034.90 ,9.34M,-0.88%
1-Oct-18,6608.20 ,6635.20 ,6674.70 ,6072.70 ,9.19M,-0.41%
30-Sep-18,6635.20 ,6603.90 ,6673.90 ,6533.50 ,9.34M,0.47%
29-Sep-18,6603.90 ,6633.90 ,6648.40 ,6464.40 ,9.42M,-0.48%
28-Sep-18,6636.00 ,6685.70 ,6809.20 ,6538.60 ,9.57M,-0.79%
27-Sep-18,6689.20 ,6463.70 ,6738.30 ,6428.80 ,9.34M,3.42%
26-Sep-18,6468.10 ,6443.00 ,6551.90 ,6384.10 ,8.64M,0.36%
25-Sep-18,6445.10 ,6590.60 ,6590.60 ,5977.00 ,7.34M,-2.11%
24-Sep-18,6584.10 ,6713.30 ,6728.10 ,6559.10 ,7.57M,-1.79%
23-Sep-18,6704.10 ,6729.60 ,6789.40 ,6666.40 ,7.34M,-0.38%
22-Sep-18,6729.60 ,6766.70 ,6833.30 ,6635.50 ,7.31M,-0.55%
21-Sep-18,6766.70 ,6490.90 ,6780.50 ,6489.80 ,7.73M,4.28%
20-Sep-18,6489.20 ,6390.40 ,6537.50 ,6346.40 ,5.18M,1.55%
19-Sep-18,6390.40 ,6342.00 ,6478.70 ,6144.50 ,3.54M,0.76%
18-Sep-18,6342.00 ,6251.90 ,6388.80 ,6228.80 ,2.82M,1.44%
17-Sep-18,6251.90 ,6500.20 ,6533.50 ,6215.90 ,3.26M,-3.82%
16-Sep-18,6500.20 ,6519.00 ,6520.80 ,6406.20 ,3.34M,-0.29%
15-Sep-18,6519.00 ,6482.60 ,6562.90 ,6470.30 ,3.16M,0.54%
