Date,Price,Open,High,Low,Vol.,Change %
7-Feb-20,0.0599 ,0.0601 ,0.0627 ,0.0595,544.76M,-0.34%
6-Feb-20,0.0601 ,0.0593 ,0.0608 ,0.0581,647.46M,1.30%
5-Feb-20,0.0593 ,0.0560 ,0.0601 ,0.0556,610.71M,5.98%
4-Feb-20,0.0560 ,0.0570 ,0.0578 ,0.056,533.30M,-1.84%
3-Feb-20,0.0570 ,0.0557 ,0.0578 ,0.0553,576.94M,2.28%
2-Feb-20,0.0557 ,0.0561 ,0.0586 ,0.055,930.72M,-0.57%
1-Feb-20,0.0561 ,0.0539 ,0.0572 ,0.0532,541.11M,4.11%
31-Jan-20,0.0539 ,0.0561 ,0.0567 ,0.0522,836.73M,-4.10%
30-Jan-20,0.0562 ,0.0534 ,0.0572 ,0.0523,854.49M,5.21%
29-Jan-20,0.0534 ,0.0529 ,0.0576 ,0.0526,1.12B,0.74%
28-Jan-20,0.0530 ,0.0479 ,0.0546 ,0.0475,1.32B,10.69%
27-Jan-20,0.0479 ,0.0447 ,0.0490 ,0.0441,545.47M,7.18%
26-Jan-20,0.0447 ,0.0431 ,0.0447 ,0.0429,292.98M,3.52%
25-Jan-20,0.0431 ,0.0450 ,0.0452 ,0.0429,260.97M,-4.03%
24-Jan-20,0.0450 ,0.0432 ,0.0453 ,0.0414,412.83M,4.06%
23-Jan-20,0.0432 ,0.0457 ,0.0459 ,0.0421,379.51M,-5.58%
22-Jan-20,0.0457 ,0.0461 ,0.0465 ,0.0453,328.19M,-0.67%
21-Jan-20,0.0461 ,0.0438 ,0.0468 ,0.0435,512.34M,5.09%
20-Jan-20,0.0438 ,0.0420 ,0.0443 ,0.042,355.52M,4.35%
19-Jan-20,0.0420 ,0.0449 ,0.0460 ,0.0413,492.60M,-6.44%
18-Jan-20,0.0449 ,0.0450 ,0.0458 ,0.0432,514.30M,-0.18%
17-Jan-20,0.0450 ,0.0416 ,0.0459 ,0.0412,661.37M,8.02%
16-Jan-20,0.0416 ,0.0428 ,0.0433 ,0.0402,429.25M,-2.64%
15-Jan-20,0.0428 ,0.0417 ,0.0432 ,0.0401,771.22M,2.60%
14-Jan-20,0.0417 ,0.0368 ,0.0427 ,0.0368,889.67M,13.15%
13-Jan-20,0.0368 ,0.0379 ,0.0379 ,0.0367,177.96M,-2.71%
12-Jan-20,0.0379 ,0.0367 ,0.0379 ,0.0366,209.27M,3.08%
11-Jan-20,0.0367 ,0.0369 ,0.0378 ,0.0365,255.79M,-0.52%
10-Jan-20,0.0369 ,0.0362 ,0.0371 ,0.0347,341.99M,2.12%
9-Jan-20,0.0362 ,0.0363 ,0.0363 ,0.0355,285.35M,-0.44%
8-Jan-20,0.0363 ,0.0370 ,0.0387 ,0.0358,563.23M,-1.96%
7-Jan-20,0.0370 ,0.0373 ,0.0380 ,0.0364,544.89M,-0.73%
6-Jan-20,0.0373 ,0.0346 ,0.0373 ,0.0344,343.25M,7.79%
5-Jan-20,0.0346 ,0.0344 ,0.0353 ,0.0342,216.71M,0.73%
4-Jan-20,0.0344 ,0.0341 ,0.0345 ,0.0337,358.20M,0.79%
3-Jan-20,0.0341 ,0.0327 ,0.0344 ,0.0324,341.59M,4.32%
2-Jan-20,0.0327 ,0.0335 ,0.0335 ,0.0323,216.63M,-2.33%
1-Jan-20,0.0335 ,0.0328 ,0.0338 ,0.0327,250.86M,1.94%
31-Dec-19,0.0328 ,0.0334 ,0.0338 ,0.0328,283.85M,-1.75%
30-Dec-19,0.0334 ,0.0341 ,0.0344 ,0.0331,226.84M,-2.13%
29-Dec-19,0.0341 ,0.0337 ,0.0346 ,0.0333,262.25M,1.41%
28-Dec-19,0.0337 ,0.0329 ,0.0342 ,0.0328,258.97M,2.33%
27-Dec-19,0.0329 ,0.0342 ,0.0344 ,0.0316,510.62M,-3.68%
26-Dec-19,0.0342 ,0.0334 ,0.0349 ,0.0333,328.87M,2.32%
25-Dec-19,0.0334 ,0.0339 ,0.0340 ,0.0329,229.21M,-1.48%
24-Dec-19,0.0339 ,0.0331 ,0.0345 ,0.0328,341.10M,2.28%
23-Dec-19,0.0331 ,0.0344 ,0.0345 ,0.0329,396.35M,-3.66%
22-Dec-19,0.0344 ,0.0330 ,0.0345 ,0.033,218.15M,4.04%
21-Dec-19,0.0330 ,0.0339 ,0.0339 ,0.0328,169.62M,-2.44%
20-Dec-19,0.0339 ,0.0330 ,0.0339 ,0.0326,257.04M,2.57%
19-Dec-19,0.0330 ,0.0343 ,0.0347 ,0.0329,400.61M,-3.83%
18-Dec-19,0.0343 ,0.0317 ,0.0346 ,0.0304,549.02M,8.48%
17-Dec-19,0.0317 ,0.0341 ,0.0341 ,0.0312,500.28M,-7.19%
16-Dec-19,0.0341 ,0.0365 ,0.0365 ,0.0333,312.31M,-6.51%
15-Dec-19,0.0365 ,0.0362 ,0.0366 ,0.0358,188.09M,0.66%
14-Dec-19,0.0362 ,0.0372 ,0.0373 ,0.0358,312.63M,-2.54%
13-Dec-19,0.0372 ,0.0365 ,0.0374 ,0.0364,287.93M,1.82%
12-Dec-19,0.0365 ,0.0366 ,0.0369 ,0.036,402.50M,-0.29%
11-Dec-19,0.0366 ,0.0363 ,0.0371 ,0.0361,566.25M,0.79%
10-Dec-19,0.0363 ,0.0372 ,0.0374 ,0.0361,290.58M,-2.37%
9-Dec-19,0.0372 ,0.0387 ,0.0388 ,0.037,255.14M,-3.91%
8-Dec-19,0.0387 ,0.0384 ,0.0389 ,0.038,166.10M,0.77%
7-Dec-19,0.0384 ,0.0383 ,0.0391 ,0.038,212.59M,0.49%
6-Dec-19,0.0383 ,0.0376 ,0.0383 ,0.0372,212.55M,1.79%
